,start,end,min_in_bed,sleep_quality,min_awake,min_rem_sleep,min_light_sleep,min_deep_sleep,total_asleep
246,2022-08-08 20:51:15,2022-08-09 05:56:49,546,88,0,83,204,259,546
247,2022-08-10 21:37:55,2022-08-11 05:34:40,477,90,0,88,181,208,477
248,2022-08-12 16:50:24,2022-08-12 17:28:10,38,84,0,0,14,24,38
249,2022-08-12 23:04:04,2022-08-13 05:57:54,414,86,26,81,184,123,388
250,2022-08-14 22:23:13,2022-08-15 06:14:07,471,94,0,105,195,171,471
251,2022-08-15 21:03:56,2022-08-16 05:58:45,535,91,16,97,190,232,519
252,2022-08-17 21:38:57,2022-08-18 03:28:58,350,81,10,42,135,163,340
253,2022-08-18 22:24:09,2022-08-19 05:29:06,425,90,0,73,156,196,425
254,2022-08-19 21:09:19,2022-08-20 03:59:45,410,89,12,85,111,202,398
255,2022-08-20 21:54:08,2022-08-21 04:13:54,380,73,58,72,108,141,322
256,2022-08-21 09:08:57,2022-08-21 10:19:07,70,70,12,0,41,17,58
257,2022-08-21 22:54:11,2022-08-22 06:44:13,470,90,18,87,211,154,452
258,2022-08-23 23:52:56,2022-08-24 06:12:50,380,88,0,74,118,188,380
259,2022-08-25 00:47:36,2022-08-25 06:43:25,356,85,0,59,138,159,356
260,2022-08-25 20:34:07,2022-08-26 05:13:24,519,70,92,30,199,198,427
261,2022-08-26 21:07:37,2022-08-27 05:13:16,486,91,15,89,203,178,471
262,2022-08-28 00:52:46,2022-08-28 09:57:37,545,94,11,109,221,204,534
263,2022-08-29 03:22:38,2022-08-29 08:43:05,320,83,0,60,116,144,320
264,2022-08-30 00:08:56,2022-08-30 05:22:45,314,73,15,43,104,152,299
265,2022-08-30 23:53:28,2022-08-31 07:57:40,484,93,16,103,153,212,468
266,2022-09-01 01:07:36,2022-09-01 07:47:38,400,94,0,107,156,137,400
267,2022-09-02 00:22:48,2022-09-02 07:14:46,412,85,0,72,263,77,412
268,2022-09-04 00:52:39,2022-09-04 07:12:34,380,90,12,75,169,124,368
269,2022-09-05 21:18:57,2022-09-06 03:27:37,369,94,14,101,157,97,355
270,2022-09-06 14:18:53,2022-09-06 17:43:38,205,63,0,59,104,42,205
271,2022-09-09 23:07:32,2022-09-10 04:44:07,337,91,0,93,152,92,337
272,2022-09-10 23:36:11,2022-09-11 05:26:46,351,94,0,97,156,98,351
273,2022-09-11 20:07:12,2022-09-12 05:26:41,559,94,0,135,274,150,559
274,2022-09-13 12:37:22,2022-09-13 14:41:30,124,83,0,44,66,14,124
275,2022-09-14 12:22:39,2022-09-14 15:10:44,168,86,0,47,78,43,168
276,2022-09-14 23:06:54,2022-09-15 07:01:20,474,80,76,119,129,150,398
277,2022-09-15 23:06:22,2022-09-16 06:41:03,455,91,13,136,216,90,442
278,2022-09-17 23:05:36,2022-09-18 06:40:58,455,90,0,102,265,88,455
279,2022-09-21 00:05:52,2022-09-21 08:01:12,475,95,16,123,162,175,459
280,2022-09-23 03:23:16,2022-09-23 09:23:13,360,93,0,108,136,116,360
281,2022-09-24 22:24:42,2022-09-25 07:15:30,531,86,40,122,239,129,491
282,2022-09-27 02:23:13,2022-09-27 10:28:22,485,91,0,93,258,134,485
283,2022-09-27 22:53:06,2022-09-28 08:54:03,601,89,0,110,297,193,601
284,2022-09-29 02:23:29,2022-09-29 07:29:25,306,77,14,61,135,96,292
285,2022-09-30 02:48:07,2022-09-30 08:43:23,355,90,0,93,139,123,355
